facility_code,facility_name,market,campus_name,address_raw,it_area_sqft,critical_it_mw,onsite_carriers,detail_url,market_url,fetched_at,capacity_density_w_per_sqft
ACT1,Waco Data Center,waco,,"700 Austin Avenue - Waco, TX 76701",14210,0.8,12,https://www.databank.com/data-centers/waco/waco-700-austin-avenue/,https://www.databank.com/data-centers/waco/,2026-09-18T08:19:10.679689Z,56.29838142153413
ATL1,Midtown Atlanta Data Center,atlanta,,"760 W Peachtree St NW - Atlanta, GA 30308",38260,7.1,8,https://www.databank.com/data-centers/atlanta/760-peachtree-street/,https://www.databank.com/data-centers/atlanta/,2026-09-18T08:17:52.142706Z,185.57239937271302
ATL2,Atlanta West End Data Center,atlanta,,"1100 White Street Southwest - Atlanta, GA 30310",52610,4.0,19,https://www.databank.com/data-centers/atlanta/1100-white-street-southwest/,https://www.databank.com/data-centers/atlanta/,2026-09-18T08:17:53.156487Z,76.03117278084015
ATL3,Atlanta West End Data Center,atlanta,,"1150 White Street Southwest - Atlanta, GA 30310",47490,6.0,19,https://www.databank.com/data-centers/atlanta/1150-white-street-southwest/,https://www.databank.com/data-centers/atlanta/,2026-09-18T08:17:54.149143Z,126.34238787113077
ATL4,South Fulton Data Center,atlanta,,"200 Selig Dr SW - Atlanta, GA 30336",212710,40.0,2,https://www.databank.com/data-centers/atlanta/200-selig-dr-sw/,https://www.databank.com/data-centers/atlanta/,2026-09-18T08:17:55.167008Z,188.0494570071929
ATL5,Lithia Springs Campus Data Center,atlanta,Lithia Springs Campus,"4764 Bakers Ferry Rd. SW - South Fulton, GA 30336",160200,48.0,1,https://www.databank.com/data-centers/atlanta/lithia-springs/4764-bakers-ferry-rd/,https://www.databank.com/data-centers/atlanta/,2026-09-18T08:17:50.141527Z,299.62546816479403
ATL6,Lithia Springs Campus Data Center,atlanta,Lithia Springs Campus,"4764 Bakers Ferry Rd. SW - South Fulton, GA 30336",240000,72.0,1,https://www.databank.com/data-centers/atlanta/lithia-springs/atl6/,https://www.databank.com/data-centers/atlanta/,2026-09-18T08:17:51.195318Z,300.0
AUS1,Austin Data Center,austin,,"7218 McNeil Dr Suite #300 - Austin, TX 78729",7870,0.405,6,https://www.databank.com/data-centers/austin/austin/,https://www.databank.com/data-centers/austin/,2026-09-18T08:17:56.986203Z,51.46124523506989
BOS1,Downtown Boston Data Center,boston,,"1 Summer Street Suite #704 - Boston, MA 02110",7760,0.5,5,https://www.databank.com/data-centers/boston/1-summer-street/,https://www.databank.com/data-centers/boston/,2026-09-18T08:17:57.844786Z,64.43298969072166
CLE1,Downtown Cleveland Data Center,cleveland,,"1255 Euclid Ave Suite #200 - Cleveland, OH 44115",7440,0.4,13,https://www.databank.com/data-centers/cleveland/1255-euclid-ave/,https://www.databank.com/data-centers/cleveland/,2026-09-18T08:18:03.003640Z,53.763440860215056
